clean_name,display_name,n_appearances,n_models,n_arms,models,arms,fuels,statuses,capacities,provinces,cur_score,cur_ref,new_score,new_ref,category
tua bin khi thu duc,Tua bin khí Thủ Đức,1,1,1,claude-opus-4-6,arm3,oil,operational,113.0,hcm city,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
tua bin khi can tho,Tua bin khí Cần Thơ,1,1,1,claude-opus-4-6,arm3,unknown,operational,155.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
nhon trach 3&4,NMĐ Nhơn Trạch 3&4 (row),1,1,1,claude-opus-4-6,arm3,unknown,unknown,0.0,—,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
nghi son 3,Nghi Sơn III,1,1,1,mistral-large-2512,arm3,coal,proposed,1200.0,thanh hoa,100.0,LNG Nghi Sơn (Thanh Hóa),100.0,LNG Nghi Sơn (Thanh Hóa),matcher_fail_lp_veto
yen hung / uong bi 3,NĐ Yên Hưng / Uông Bí III,1,1,1,gpt-5.5,arm3,coal,unknown,1200.0,quang ninh,88.9,Uong Bi I,88.9,Uong Bi I,reference_hole
hoa phat 2 gas du,Hòa Phát II gas dư,1,1,1,gpt-5.5,arm3,unknown,planned,300.0,n/a,77.8,Cẩm Phả 2,77.8,Cẩm Phả 2,reference_hole
duc giang chp,Đức Giang CHP,1,1,1,gpt-5.5,arm3,unknown,planned,100.0,n/a,87.0,Duc Giang - Lao Cai Chemical,87.0,Duc Giang - Lao Cai Chemical,statistical_borderline
kien giang 1–2 gas,Kiên Giang I–II gas,1,1,1,gpt-5.5,arm3,unknown,unknown,1500.0,kien giang,89.7,"TBKHH Kiên Giang I, II",89.7,"TBKHH Kiên Giang I, II",matcher_fail_normalization
kien luong coal,Kiên Lương coal,1,1,1,gpt-5.5,arm3,coal,unknown,3600.0,kien giang,75.0,LNG Long Sơn,75.0,LNG Long Sơn,reference_hole
can tho hoi nuoc,NĐ Cần Thơ hơi nước,1,1,1,gpt-5.5,arm3,unknown,retired,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
ttnd kien luong 3,TTNĐ Kiên Lương III,1,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,kien giang,73.7,Na Dương 1,73.7,Na Dương 1,reference_hole
ttnd kien luong 1,TTNĐ Kiên Lương I,1,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,kien giang,84.2,Na Dương 1,84.2,Na Dương 1,reference_hole
ttnd kien luong 2,TTNĐ Kiên Lương II,1,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,kien giang,84.2,Na Dương 2,84.2,Na Dương 2,reference_hole
thu duc dau,NĐ Thủ Đức dầu,1,1,1,gpt-5.5,arm3,unknown,retired,165.0,tp. ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
trung tam kien luong 1,Trung tâm nhiệt điện Kiên Lương I,1,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,kien giang,84.2,Na Dương 1,84.2,Na Dương 1,reference_hole
trung tam kien luong 2,Trung tâm nhiệt điện Kiên Lương II,1,1,1,gpt-5.5,arm3,coal,cancelled,1200.0,kien giang,84.2,Na Dương 2,84.2,Na Dương 2,reference_hole
trung tam kien luong 3,Trung tâm nhiệt điện Kiên Lương III,1,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,kien giang,73.7,Na Dương 1,73.7,Na Dương 1,reference_hole
tuabin khi thu duc,Tuabin khí Thủ Đức,1,1,1,gpt-5.5,arm3,unknown,retired,113.0,tp. ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
can tho s4 dau,Nhiệt điện Cần Thơ S4 dầu,1,1,1,gpt-5.5,arm3,unknown,retired,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ,matcher_fail_lp_veto
formosa ha tinh 1,Nhiệt điện Formosa Hà Tĩnh I,1,1,1,gpt-5.5,arm3,coal,operational,150.0,ha tinh,100.0,LNG Hà Tĩnh,100.0,LNG Hà Tĩnh,matcher_fail_lp_veto
than binh dinh 2,Nhiệt điện than Bình Định II,1,1,1,gpt-5.5,arm3,coal,cancelled,2000.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
bac giang,Nhiệt điện Bắc Giang,1,1,1,gpt-5.5,arm3,coal,cancelled,600.0,bac giang,100.0,An Khánh - Bac Giang,100.0,An Khánh - Bac Giang,matcher_fail_lp_veto
an khe biomass,An Khê Biomass,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,operational,110.0,gia lai,76.9,Mao Khe,76.9,Mao Khe,statistical_borderline
kien luong complex,Kiên Lương Complex,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,cancelled,3600.0,kien giang,75.0,LNG Long Sơn,75.0,LNG Long Sơn,reference_hole
kcp biomass,KCP Biomass,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,operational,60.0,phu yen,50.0,LNG Cà Mau 1,50.0,LNG Cà Mau 1,statistical_borderline
dau thu duc,Nhiệt điện Dầu Thủ Đức,1,1,1,qwen3.7-max-2026-05-20,arm3,unknown,unknown,165.0,tp ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
cao nhan,Cao Nhân,1,1,1,claude-opus-4-6,arm4,unknown,unknown,0.0,hai phong,87.5,Cao Ngạn,87.5,Cao Ngạn,statistical_borderline
formosa ht ph.1,Formosa HT Ph.1,1,1,1,claude-opus-4-6,arm4,unknown,operational,500.0,ha tinh,95.2,Formosa HT2,95.2,Formosa HT2,matcher_fail_lp_veto
long an 3,Long An III,1,1,1,mistral-large-2512,arm4,coal,proposed,1200.0,long an,94.1,Long An 1,94.1,Long An 1,matcher_fail_lp_veto
ttdl kien luong,TTĐL Kiên Lương,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,3600.0,kien giang,70.6,Na Dương 1,70.6,Na Dương 1,reference_hole
tan phuoc 3,NĐ Tân Phước III,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,1200.0,tien giang,100.0,LNG Tân Phước,100.0,LNG Tân Phước,matcher_fail_lp_veto
trung tam kien luong,Trung tâm nhiệt điện Kiên Lương,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,3600.0,kien giang,70.6,Na Dương 1,70.6,Na Dương 1,reference_hole
kien luong 1-3,Nhiệt điện Kiên Lương 1-3,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,3600.0,kien giang,80.0,Na Dương 1,80.0,Na Dương 1,reference_hole
hoa phat 2 nhiet du,NĐ Hòa Phát II nhiệt dư,1,1,1,gpt-5.5-2026-04-23,arm4,coal,unknown,300.0,quang ngai,77.8,Cẩm Phả 2,77.8,Cẩm Phả 2,reference_hole
ttnd kien luong,TTNĐ Kiên Lương,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,3600.0,kien giang,70.6,Na Dương 1,70.6,Na Dương 1,reference_hole
vnt19,Nhà máy nhiệt điện VNT19,1,1,1,gpt-5.5-2026-04-23,arm4,coal,proposed,54.0,quang ngai,50.0,Long An 1,50.0,Long An 1,statistical_borderline
vung ang 3 than,NĐ Vũng Áng III than,1,1,1,gpt-5.5-2026-04-23,arm4,coal,cancelled,1200.0,ha tinh,100.0,Vung Ang 3,100.0,Vung Ang 3,matcher_fail_lp_veto
thanh hoa,LNG Thanh Hóa,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,thanh hoa,71.4,Cong Thanh,71.4,Cong Thanh,statistical_borderline
thai binh giai doan 2,LNG Thái Bình giai đoạn 2,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,thai binh,100.0,LNG Thái Bình,100.0,LNG Thái Bình,matcher_fail_lp_veto
hoa ninh giai doan 1,LNG Hòa Ninh giai đoạn I,1,1,1,gpt-5.5-2026-04-23,arm4,imported gas,proposed,1500.0,da nang,73.7,Na Dương 1,73.7,Na Dương 1,statistical_borderline
dau/khi thu duc,NĐ dầu/khí Thủ Đức,1,1,1,gpt-5.5-2026-04-23,arm4,unknown,retired,165.0,tp ho chi minh,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức,matcher_fail_lp_veto
**cam pha**,**Cẩm Phả**,1,1,1,qwen3.7-max-2026-05-20,arm4,coal,unknown,600.0,,77.8,Cam Pha 3,77.8,Cam Pha 3,statistical_borderline
long an 1 & 2,LNG Long An I & II,1,1,1,qwen3.7-max-2026-05-20,arm4,imported gas,proposed,3000.0,long an,100.0,Long An 1,100.0,Long An 1,matcher_fail_lp_veto
long an 1 & 2 lng,Long An I & II LNG,1,1,1,qwen3.7-max-2026-05-20,arm4,imported gas,proposed,3000.0,long an,100.0,Long An 1,100.0,Long An 1,matcher_fail_lp_veto
